### after-2030  n=20 size=long  2026-09-04T11:50:44Z
long pool: 20 notes, 624–6777 chars
editor-web asset 387cc1c718a7c409
note-open latency — 20 traces
navigate                     n= 20  p50=0ms  p95=0ms  max=0ms
sessionReady                 n= 20  p50=2ms  p95=11ms  max=11ms
docOpen                      n= 20  p50=5ms  p95=47ms  max=47ms
recordRead                   n= 20  p50=5ms  p95=48ms  max=48ms
seedResolved                 n= 20  p50=6ms  p95=49ms  max=49ms
docStart                     n=  0  p50=-  p95=-  max=-
importsStart                 n=  0  p50=-  p95=-  max=-
scriptEval                   n=  0  p50=-  p95=-  max=-
schemaBuilt                  n=  0  p50=-  p95=-  max=-
readySent                    n=  0  p50=-  p95=-  max=-
idleTickFirst                n=  0  p50=-  p95=-  max=-
idleTickLast                 n=  0  p50=-  p95=-  max=-
webviewMounted               n=  1  p50=429ms  p95=429ms  max=429ms
guestReady                   n=  1  p50=446ms  p95=446ms  max=446ms
probeEarlySent               n=  0  p50=-  p95=-  max=-
probeEarlyRecv               n=  0  p50=-  p95=-  max=-
docLoadSent                  n= 20  p50=21ms  p95=468ms  max=468ms
docLoadRecv                  n= 20  p50=28ms  p95=475ms  max=475ms
probeLateSent                n=  0  p50=-  p95=-  max=-
probeLateRecv                n=  0  p50=-  p95=-  max=-
yApplied                     n= 20  p50=28ms  p95=481ms  max=481ms
createStart                  n= 20  p50=28ms  p95=481ms  max=481ms
createEnd                    n= 20  p50=30ms  p95=487ms  max=487ms
mountEnd                     n= 20  p50=37ms  p95=518ms  max=518ms
shikiStart                   n=  0  p50=-  p95=-  max=-
shikiSync                    n=  0  p50=-  p95=-  max=-
shikiEnd                     n=  0  p50=-  p95=-  max=-
seedEnd                      n= 20  p50=37ms  p95=518ms  max=518ms
guestPainted                 n= 20  p50=37ms  p95=529ms  max=529ms
painted                      n= 20  p50=38ms  p95=535ms  max=535ms
navigate→painted             n= 20  p50=38ms  p95=535ms  max=535ms
intervals, differenced per trace
probeEarlySent→probeEarlyRecv n=  0  p50=-  p95=-  max=-
idleTickLast→docLoadRecv     n=  0  p50=-  p95=-  max=-
docLoadSent→docLoadRecv      n= 20  p50=6ms  p95=10ms  max=10ms
probeLateSent→probeLateRecv  n=  0  p50=-  p95=-  max=-
guestReady→painted           n=  1  p50=89ms  p95=89ms  max=89ms
doc-load payload size — stateBytes in bytes, the other two in characters
stateBytes                   n= 20  p50=6781  p95=56663  max=56663
wireChars                    n= 20  p50=9044  p95=75552  max=75552
injectedChars                n= 20  p50=9380  p95=75887  max=75887
